2024-04-24 19:58:01.741657 - Среднеквадратическое отклонение (MSE): 1.735647201538086. Спектрограммы, в промежутке от 184 до 186 секунд видео, не совпадают.
2024-04-24 19:58:03.300299 - Среднеквадратическое отклонение (MSE): 1.7679123878479004. Спектрограммы, в промежутке от 186 до 188 секунд видео, не совпадают.
2024-04-24 19:58:04.858910 - Среднеквадратическое отклонение (MSE): 1.5244851112365723. Спектрограммы, в промежутке от 188 до 190 секунд видео, не совпадают.
2024-04-24 19:58:06.410937 - Среднеквадратическое отклонение (MSE): 0.9493996500968933. Спектрограммы, в промежутке от 190 до 192 секунд видео, не совпадают.
2024-04-24 19:58:07.972721 - Среднеквадратическое отклонение (MSE): 1.3353804349899292. Спектрограммы, в промежутке от 192 до 194 секунд видео, не совпадают.
2024-04-24 19:58:09.525560 - Среднеквадратическое отклонение (MSE): 1.8031989336013794. Спектрограммы, в промежутке от 194 до 196 секунд видео, не совпадают.
2024-04-24 19:58:11.060880 - Среднеквадратическое отклонение (MSE): 1.3363442420959473. Спектрограммы, в промежутке от 196 до 198 секунд видео, не совпадают.
2024-04-24 19:58:12.612008 - Среднеквадратическое отклонение (MSE): 1.2678674459457397. Спектрограммы, в промежутке от 198 до 200 секунд видео, не совпадают.
2024-04-24 19:58:14.168640 - Среднеквадратическое отклонение (MSE): 1.2069041728973389. Спектрограммы, в промежутке от 200 до 202 секунд видео, не совпадают.
2024-04-24 19:58:15.741648 - Среднеквадратическое отклонение (MSE): 1.0601987838745117. Спектрограммы, в промежутке от 202 до 204 секунд видео, не совпадают.
2024-04-24 19:58:17.287623 - Среднеквадратическое отклонение (MSE): 1.6423348188400269. Спектрограммы, в промежутке от 204 до 206 секунд видео, не совпадают.
2024-04-24 19:58:18.883074 - Среднеквадратическое отклонение (MSE): 1.8203445672988892. Спектрограммы, в промежутке от 206 до 208 секунд видео, не совпадают.
2024-04-24 19:58:20.429469 - Среднеквадратическое отклонение (MSE): 2.2111806869506836. Спектрограммы, в промежутке от 208 до 210 секунд видео, не совпадают.
2024-04-24 19:58:22.073982 - Среднеквадратическое отклонение (MSE): 1.9718379974365234. Спектрограммы, в промежутке от 210 до 212 секунд видео, не совпадают.
2024-04-24 19:58:23.652210 - Среднеквадратическое отклонение (MSE): 1.7673628330230713. Спектрограммы, в промежутке от 212 до 214 секунд видео, не совпадают.
2024-04-24 19:58:25.256316 - Среднеквадратическое отклонение (MSE): 1.4809519052505493. Спектрограммы, в промежутке от 214 до 216 секунд видео, не совпадают.
2024-04-24 19:58:26.834827 - Среднеквадратическое отклонение (MSE): 1.2866435050964355. Спектрограммы, в промежутке от 216 до 218 секунд видео, не совпадают.
2024-04-24 19:58:28.388956 - Среднеквадратическое отклонение (MSE): 2.0812766551971436. Спектрограммы, в промежутке от 218 до 220 секунд видео, не совпадают.
2024-04-24 19:58:29.945839 - Среднеквадратическое отклонение (MSE): 1.5754878520965576. Спектрограммы, в промежутке от 220 до 222 секунд видео, не совпадают.
2024-04-24 19:58:31.510547 - Среднеквадратическое отклонение (MSE): 1.8911759853363037. Спектрограммы, в промежутке от 222 до 224 секунд видео, не совпадают.
2024-04-24 19:58:33.114587 - Среднеквадратическое отклонение (MSE): 1.2767802476882935. Спектрограммы, в промежутке от 224 до 226 секунд видео, не совпадают.
2024-04-24 19:58:34.730913 - Среднеквадратическое отклонение (MSE): 1.3194715976715088. Спектрограммы, в промежутке от 226 до 228 секунд видео, не совпадают.
2024-04-24 19:58:36.301885 - Среднеквадратическое отклонение (MSE): 0.9213461875915527. Спектрограммы, в промежутке от 228 до 230 секунд видео, не совпадают.
2024-04-24 19:58:37.858041 - Среднеквадратическое отклонение (MSE): 1.2615761756896973. Спектрограммы, в промежутке от 230 до 232 секунд видео, не совпадают.
2024-04-24 19:58:39.427712 - Среднеквадратическое отклонение (MSE): 1.8283766508102417. Спектрограммы, в промежутке от 232 до 234 секунд видео, не совпадают.
2024-04-24 19:58:40.999771 - Среднеквадратическое отклонение (MSE): 1.94652259349823. Спектрограммы, в промежутке от 234 до 236 секунд видео, не совпадают.
2024-04-24 19:58:42.558416 - Среднеквадратическое отклонение (MSE): 1.7447311878204346. Спектрограммы, в промежутке от 236 до 238 секунд видео, не совпадают.
2024-04-24 19:58:44.126113 - Среднеквадратическое отклонение (MSE): 2.5189974308013916. Спектрограммы, в промежутке от 238 до 240 секунд видео, не совпадают.
2024-04-24 19:58:45.691904 - Среднеквадратическое отклонение (MSE): 2.578965425491333. Спектрограммы, в промежутке от 240 до 242 секунд видео, не совпадают.
2024-04-24 19:58:47.245175 - Среднеквадратическое отклонение (MSE): 2.470707893371582. Спектрограммы, в промежутке от 242 до 244 секунд видео, не совпадают.
2024-04-24 19:58:48.825570 - Среднеквадратическое отклонение (MSE): 2.147298812866211. Спектрограммы, в промежутке от 244 до 246 секунд видео, не совпадают.
2024-04-24 19:58:50.401168 - Среднеквадратическое отклонение (MSE): 1.1872923374176025. Спектрограммы, в промежутке от 246 до 248 секунд видео, не совпадают.
2024-04-24 19:58:51.982060 - Среднеквадратическое отклонение (MSE): 1.7631018161773682. Спектрограммы, в промежутке от 248 до 250 секунд видео, не совпадают.
2024-04-24 19:58:53.613429 - Среднеквадратическое отклонение (MSE): 1.1891701221466064. Спектрограммы, в промежутке от 250 до 252 секунд видео, не совпадают.
2024-04-24 19:58:55.191065 - Среднеквадратическое отклонение (MSE): 1.3737024068832397. Спектрограммы, в промежутке от 252 до 254 секунд видео, не совпадают.
2024-04-24 19:58:56.785643 - Среднеквадратическое отклонение (MSE): 1.3458210229873657. Спектрограммы, в промежутке от 254 до 256 секунд видео, не совпадают.
2024-04-24 19:58:58.385531 - Среднеквадратическое отклонение (MSE): 1.6099755764007568. Спектрограммы, в промежутке от 256 до 258 секунд видео, не совпадают.
2024-04-24 19:59:00.065624 - Среднеквадратическое отклонение (MSE): 2.9207732677459717. Спектрограммы, в промежутке от 258 до 260 секунд видео, не совпадают.
2024-04-24 19:59:01.662605 - Среднеквадратическое отклонение (MSE): 2.1502788066864014. Спектрограммы, в промежутке от 260 до 262 секунд видео, не совпадают.
2024-04-24 19:59:03.308259 - Среднеквадратическое отклонение (MSE): 3.4273571968078613. Спектрограммы, в промежутке от 262 до 264 секунд видео, не совпадают.
2024-04-24 19:59:05.184657 - Среднеквадратическое отклонение (MSE): 1.8347676992416382. Спектрограммы, в промежутке от 264 до 266 секунд видео, не совпадают.
2024-04-24 19:59:06.903462 - Среднеквадратическое отклонение (MSE): 2.030921220779419. Спектрограммы, в промежутке от 266 до 268 секунд видео, не совпадают.
2024-04-24 19:59:08.681276 - Среднеквадратическое отклонение (MSE): 2.085355043411255. Спектрограммы, в промежутке от 268 до 270 секунд видео, не совпадают.
2024-04-24 19:59:10.367883 - Среднеквадратическое отклонение (MSE): 2.1223316192626953. Спектрограммы, в промежутке от 270 до 272 секунд видео, не совпадают.
2024-04-24 19:59:12.032156 - Среднеквадратическое отклонение (MSE): 1.963987112045288. Спектрограммы, в промежутке от 272 до 274 секунд видео, не совпадают.
